label,text
misleading, A text that ensures that the guava tree leaf can “prevent or reverse” the effects of COVID-19.
false, An article stating that 25 police officers tested positive to Covid-19 after assisting positive migrants.
false, Ghana’s president said the coronavirus was created in a laboratory.
false, Ecuador found the cure for coronavirus.
false," A photograph of former United States President Barack Obama, with a caption saying it was taken in a “Chinese laboratory in Wuhan. Barack Obama, Anthony Fauci and Melinda Gates, visit the virus factory probably to check on the progress of Coronavirus research.”"
false," An image that claims that asymptomatic carriers of the novel coronavirus are immune, do not spread the coronavirus and communicate “antibodies” to other people."
false, The coronavirus is an amplified bacterium and is related to 5G.
false, A plasma donors list for COVID-19 treatment is shared on Indian WhatsApp chains.
false," There is a natural recipe to cure COVID-19: hydroxychloroquine, ivermectin, garlic tea, vitamin D, honey, herbs."
false," An image that claims that an alleged therapy called biomagnetism is capable can wipe out “all kinds of viruses, bacteria, fungi and parasites”, including the coronavirus “quickly and effectively.”"
false," A WhatsApp message says taht in Ecuador, the cure for the coronavirus has already been found thanks to the fact that Ecuadorian doctors who “disobeyed the global law” from the World Health Organization (WHO) not to do autopsies. Thus they would have discovered that the cause of the disease is a bacterium and its remedy, antibiotics, anti-inflammatories and anticoagulants."
false," Use of ivermectin, azithromycin and aspirin before the COVID-19 diagnosis is confirmed can cure or alleviate the infection."
false, The rapid diagnostic tests for coronavirus are being manipulated to show more coronavirus infections.
false, A web article stating that Kazakhstan is dealing with a new outbreak of a particular kind of pneumonia which is “more dangerous than Covid-19”.
false," The WHO approved a Chinese vaccine against COVID-19 that costs US$10000 per dose; it also forbade tests with an American vaccine, which would be given at very low cost."
false," Photo shows former President Barack Obama, Dr. Anthony Fauci and Melinda Gates at the “Wuhan lab in 2015.”"
false, A student from Pondicherry University in India has found a home remedy for COVID-19 that has been accepted by World Health Organization (WHO).
false," The mayor of Porto Alegre, Brazil, removed the benches of Redenção Park as a measure against people meeting up."
false, Masks produce hypoxia and hypercapnia.
false, Deaths from other causes are ‘passed’ as COVID-19.
false," Fiocruz, a Brazilian state-owned science institute, developed the ChAdOx1 nCov-2019. Then, they offered it to Oxford University, because they were not getting any support from Jair Bolsonaro."
false, A photo of Jair Bolsonaro In which he is hospitalized with a tube in his nose. The caption with the photo link it to COVID-19.
false, Testing kit for COVID-19 is harmful to brain tissue.
misleading, Africa managed the pandemic by prescribing ivermectin.
false," Manuel Elkin Patarroyo, a famous Colombian scientific, wrote a message about the coronavirus and sided against the WHO."
false, WHO warns that wearing masks is unnecessary for healthy people.
false, The WHO claimed that “maybe there was no need for a lockdown”.
false, Covid-19 test using a swab is used to “collect DNA” from the population.
false," Monkeys roaming in a Hyderabad Hospital, threatening COVID-19 patients."
false, The U.S. government has approved a second round of coronavirus stimulus payments to everyone who signs up — and that the money will be forthcoming in “5-7 business days.”
false, Pistol shaped infrared themometers are dangerous and can burn neurons.
false," PAHO, the PanAmerican health organisation, has conducted studies of Ivermectin and there is scientific evidence of its efficacy against Covid-19."
false, The COVI-PASS mobile application is collaborating with the Portuguese Government.
false," Mayor of Cali, Colombia, will close the city for 14 days due to coronavirus."
false, A fake document which says that the Italian government is extending the state of emergency until Spring 2021.
false, French doctors protested by throwing away their vests after finding out COVID-19 is a fraud.
false, Brazilian Congress takes advantage of pandemic to pass a law allowing abortion for up to 22 weeks of pregnancy.
false, A statement of a public and famous university (Antioquia University) says that Colombia will have 500 deaths of coronavirus per day.
false, The new coronavirus was created in a laboratory.
false," Edouard Philippe, France’s ex-prime minister, is being sued because he forbade hydroxychloroquine in the country."
false," While everyone was worried about COVID-19, the Chamber of Deputies approved two bills which legalize abortion."
false," Masks are causing us to breathe the waste from our own body, which favors cancer, causes hypoxia or intoxicates the blood."
misleading, Eiffel tower reopens with hommage to COVID-19 deaths.
false, Wearing a mask can cause a fungal infection.
misleading, A video of an air show in Italy that was made to raise the spirits of the population due to the quarantine.
false, Consuming alcohol beverages or vodka will reduce risk of COVID-19 infection.
false, Chloroquine prevents hospitalization and prevents deaths from COVID-19.
false," Ivermectin, chloroquine and nitazoxanide (sold in Brazil under the name Annita) prevent the multiplication of the novel coronavirus if taken at the beginning of Covid-19 symptoms."
false, UK nurse gives recommendations for treating coronavirus.
false, Squeezing hot lemon water cures corona virus infection.
false," Person flees from isolation ward in Hyderabad, India."
false," A text about how no one is to be blamed for the pandemic in Brazil written by Mario Sergio Cortella, a Brazilian writer and philosophy professor."
false, A WhatsApp message says that coronavirus is being transmitted in wastewater.
false," “Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID 19 vaccine. They have confidence in their product.”"
false," Jair Bolsonaro, president of Brazil, said he caught COVID-19 because he had a schedule hearing on an police inquiry."
false, The PCR diagnostic test for Covid-19 is performed in the blood-brain barrier area and can cause inflammation of the brain.
false," The coronavirus that causes COVID-19 “is not a virus, it is an exosome”. This statement is attributed to James EK Hildreth, an American expert in HIV, and president of the Meharry Medical College, a university located in Nashville, Tennessee."
false," Video shows former Brazilian Minister of Health, Luiz Henrique Mandetta, and Minister of the Supreme Court Gilmar Mendes having lunch in Lisbon in the middle of the pandemic."
misleading," A WhatsApp message claims to inform people of symptoms of COVID-19 infection compared with symptoms of other illnesses or health complications, attributed to the All India Institute Of Medical Sciences in New Delhi."
false," “Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID 19 vaccine. They have confidence in their product”"
false," An image claiming that there is a Covid-19 clusted in the Nicolás Salmerón street in Santander, Spain and that “it is from an overcrowded flat inhabited by about 13 immigrant individuals.”"
misleading, The bubonic plague is airborne and can spread when an infected person coughs.
false," A natural cure for coronavirus: hot water with lemon, ginger and onion."
false," An alleged image of the Spanish Antena 3 website that says “Coronavirus in Spain today: Two waiters in quarantine and 5 more people of course contagion in a disco” and includes an image of Velice Discoteca, in Torrevieja (Alicante)."
misleading," A picture of Brazilian president Jair Bolsonaro in a hospital bed, which would show his condition after testing positive for Covid-19."
false," An image circulating via WhatsApp discloses false information about the dates on which, supposedly, the Protect bonus will be deposited in accounts of Costa Rican citizens."
false," A video of an excerpt from an American television program in which the presenter criticizes the use of masks and, as part of that criticism, supposedly measures the oxygen levels inside the mask that a child is wearing."
false," A painting in which people with face masks of the flags of different countries appear, assuring that it is a “mural of the Denver airport painted in 1994”, as if it had predicted the current coronavirus pandemic."
false, Prisioners temporarily released because of COVID-19 were responsible for 13.9% of all murders in Brazil in April 2020.
false, The amount of oxygen in your blood can decrease by 20% when you wear masks.
false, A publication in Macedonian claims that “COVID-19 IS NOT A VIRUS” and that the Italians are the first to find the cure.
false, The Universal Church of the Kingdom of God published a note stating that healing sessions were suspended due to COVID-19.
misleading, A video where an unidentified person shows how he performs a supposed test on the oxygen levels of the air inside the mask that he wears with a device that claims to be “an air quality monitor”.
false," Health authorities recommend that you throw a teaspoon of bleach inside every toilet, sink and drain. This helps preventing the SARS-CoV-2 to enter your house through the sewer."
false," In Hyderabad, India, dogs are roaming in Osmania Hospital wards amid COVID-19 crisis."
false," Claim that Universidad de Antioquia (UdeA), in Colombia, predicted ‘almost a thousand deaths per day’ at the peak of COVID-19."
false, Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.
false, Consuming chlorine dioxide cures the coronavirus.
false, Eating highly alkaline foods can defeat COVID-19. SARS-CoV-2 has a pH level of between 5.5 and 8.5.
false, An image in which it is stated that kisses and hugs do not increase the risk of transmission of covid-19.
false, Governor of the Brazilian state of Bahia dismissed a doctor who appealed to President Jair Bolsonaro for chloroquine.
false, The vaccine for coronavirus is ready (as of July 7).
misleading, Flamingos gather in Venice as there are no tourists around the water channels due to the pandemic.
false, The Philippines does not have the fastest rising number of COVID-19 cases in the Western Pacific Region as classified by the World Health Organization.
false," Video showing COVID-19 patients sitting in corridor in Gandhi Hospital Chandigarh, in India."
false, Pouring bleach into drains prevents Covid-19 contamination.
false, A text circulating in Macedonian that says that “new research has shaken the world and that something terrible has been discovered about coronavirus and the human immunity.”
false, David Icke says the pandemic was caused by 5g technology.
false," A painting depicting children with face masks was created as a mural for the Denver airport in 1994, proving the COVID-19 pandemic was planned."
false, A post is circulating on Facebook of a supposed page of the argentine bank “Banco Provincia” that requests access to a link to re-enter personal data for alleged problems in home banking linked to the COVID-19 crisis.
false, An image that states that the Costa Rican government prohibited the sale of liquor due to the pandemic.
false, WHO backtracked and released a document stating masks are not efficient to protect healthy people against COVID-19.
false," A study proves that ivermectin helped the number of COVID-19 cases decrease in Natal, Brazil."
false, Democrats to blame for Covid-19 related deaths. They control the drugs against the virus.
false, China is in maximum alert for bulbonic plague.
false," A message claims many physicians of Chang Gung Hospital, in Taiwan, are secretly under quarantine for COVID-19, indicating the local transmission and the lack of transparency of government data."
misleading, A spike in COVID-19 cases in the U.S. seen in June 2020 is due to increased testing.
false," If you have symptoms of COVID-19, you should self-medicate with chloroquine and azithromycin and take zinc and vitamin C and D supplements."
false, Coronavirus comes from a laboratory in Wuhan and is a commercial strategy of China.
false, Face masks don’t “protect against covid19 and other viruses.”
false," Homeless man in Punkunnam, Kerala, India, tested positive for COVID-19."
false, Audio message circulating on WhatsApp saying that clinics and hospitals are looking for asthma patients to get sick from COVID-19.
false, Antibodies for the common cold produce a positive COVID-19 test. False-positive results from COVID-19 antibody testing are behind the COVID-19 cases reported in the U.S.
false, IMSS training on prevention must be paid COVID-19
false," A phrase that is attributed to the president of the Community of Madrid, Isabel Díaz Ayuso, who allegedly said that “the deaths from coronavirus are the fault of the doctors and not mine.”"
false, A post stating that a local magazine in Ecuador revealed corruption in test purchase for COVID-19.
false," Banana contains a lectin that is a powerful anti-COVID19 agent, blocking the virus from entering the cell. Eating a banana a day is recommended."
false, Henry Kissinger said that population reduction should be done by vaccines “for the common good”.
false, Ghislaine Maxwell — the recently arrested associate of Jeffrey Epstein — has tested positive for COVID-19 while in jail.
false, Actor Chuck Norris died of COVID-19.
false," There is a Nipah Virus outbreak in India amidst coronavirus pandemic, according to a warning form the WHO."
false," Liquigás, a Brazilian energy company, is giving out free propane canisters to people who lost their income because of COVID-19 lockdowns."
false, Messages stating that King Felipe VI of Spain has bought a new car of more than half a million euros “in the midst of the COVID-19 crisis” or “in the midst of a pandemic”.
false," Bolivia approved the use of chlorine dioxide, amid the fight against covid-19."
false, Infrared thermometers cause brain damage.
misleading," Doctor says chloroquine cures COVID-19 and wearing masks can turn your blood into acid, which can help the proliferation of the novel coronavirus."
false, Brazilian congressman João Campos denied using elections fund in measures to prevent COVID-19.
false, A post against vaccines and a future coronavirus vaccine shows the Prime minister of Australia pretending to get a vaccine but not actually getting it.
false, Messages distribute false information about the alert level in Costa Rica.
false, Melon and orange are effective medicines against COVID-19.
false, The presidente of Salvador said that prisioners have no rights during coronavirus pandemic.
misleading, U.S. hospital laboratories falsify COVID-19 tests to inflate the number of positive results. Nurses sent unused swabs for COVID-19 testing and they all came back positive.
false," The Covid-19 protocol at Évora Maternity, in Portugal, consists of “covering the patient’s head with a bag”."
false," A new pandemic has started in China, and there are already cases in Europe and in other Asian countries. A type of swine flu is spreading to humans."
false," São Paulo’s mayor bought 38,000 coffins with no public bidding."
false," Raissa Soares, a doctor in Bahia, was fired from a state hospital under orders from Rui Costa, Bahia’s state governor. She was dismissed becaused she favoured the use of hydroxychloroquine against COVID-19."
false, The prime minister of Australia was caught on video pretending to receive a vaccine against COVID-19.
false, Increasing social contact makes the coronavirus weaker.
false, A post claiming a COVID-19 treatment available for just Rs 600 in India.
false, Oximeters can take your fingerprints and therefore steal your personal data.
misleading," A graphic that the Argentine president, Alberto Fernández, showed about the fall in GDP and the deaths by country."
false, A website URL being circulated to claim Rs.2000 aid from the Indian government to its population as COVID-19 relief.
false, An email from the Colombian Ministry of Health informing citizens they must take a compulsory COVID-19 test.
false, The UN wants to ‘impose’ abortion using the coronavirus as an excuse.
false, Brazilian Supreme Court ruled that President Bolsonaro couldn’t determine actions to combat the pandemic of the new coronavirus.
misleading, Atlantico is the department of Colombia with the most ICU beds in the country.
false, A video claiming that Italian newscasts broadcasted fake pictures and/or videos of coffins in Bergamo during the Covid-19 pandemic.
misleading, Gas sensors show that wearing a face mask leads to oxygen deficiency and carbon dioxide toxicity.
false, A video on social networks in which you can see how two policemen removed a person from inside a grave. The message with which the images are shared claim that this is a man who had allegedly died with a coronavirus in Brazil and who had been buried alive.
false, Brazilian Supreme Court decided that the federal government has no responsability in combating the COVID-19 crisis; this should be done by state and municipal governments.
false, Xiaomi is distributing free smartphones to students who are currently under lockdown and need a phone to study.
false," Video of a hospital crowded with COVID-19 patients in a Barranquilla hospital, in Colombia."
false, Livfavir and Fabiflu are both medicines that can be used to treat COVID-19.
false," A nurse is mistreating elders in Antioquia, Colombia."
false, Publications that claim that a Brazilian deputy has uncovered “the great farce of the sick and deceased of COVID-19” when discovering an empty field hospital.
false, A video which claims that infrared thermometers would be “killing us” by altering our central nervous system.
misleading, A WhatsApp message that the European Union wants to relax vaccination regulations so that the COVID-19 vaccine is available more quickly since “Gates and his accomplices seem to be in a rush to administer it” although “it probably equates to a genocide”.
false, Gargling with baking soda kills coronavirus.
misleading, A Facebook post by a “Serena Williams” has been interpreted by some as being from the tennis champ.
false," Denis Mukwege, Nobel Award laureate, resigned his post as head of a commitee to deal with the pandemic after being asked to forge the number of COVID-19 cases and deaths."
misleading, A Salvadoran doctor published a protocol for patients diagnosed with COVID-19 and the care they should take to avoid visiting a doctor and how to take medication if they tested positive.
false, A WhatsApp chain offering food aid in Spain called the “2020 social plan” for the COVID-19 health crisis.
false, The use of masks causes us to inhale the carbon dioxide we breathe and to “poison the lungs”.
false," A Facebook post claiming that the “50 million people” who died during the second wave of the Spanish flu (1918) had just got a vaccine. The post compares this situation with the new coronavirus, and warns people against getting a vaccine for Covid-19 when it will be ready."
misleading, The pandemic was a giant scam since only 56 deaths from COVID-19 caused the collapse of the global economy.
false," Coronavirus dies in 26-27 degrees temperature, according to UNICEF."
false, A post claims a COVID-19 vaccine has already been developed and will cause widespread infertility.
false, WHO says that covid-19 has become endemic.
misleading, Suicides have increased 200% in the COVID-19 lockdown period.
misleading," A video where people, allegedly Covid-19 victims, are thrown out of an helicopter in Mexico."
false," Italy, Spain and the United Kingdom “present zero cases” of Covid-19 to attract tourists."
false, A “face mask exempt card” shared on social media invokes the Americans with Disabilities Act and claims to excuse people from wearing face masks.
false, A publication asks for financial help to save the Los Pollos Hermanos restaurant in the midst of the coronavirus crisis.
false, The herb called mugwort cures the coronavirus in three days.
misleading, Media uses photos of puppets on patient stretchers to scare the public.
false, The Argentine Electoral Chamber announced that the legislative elections of 2021 will be eliminated.
false, COVID19 can be transmitted through mosquitoes.
misleading," Leader of the Sadrist movement, Muqtada al-Sadr, was inficted with Covid-19, and died in Beirut."
false, A test on video with a gas detector shows that face masks result in dangerous oxygen levels for the wearer.
false, Alappuzha market in India closed due to discovery of COVID-19 positive patients in the area.
false, The plant known as luisa grass kills the coronavirus.
false, Story claims to show a little girl who died of COVID-19.
false, Breathing in the scent of an eucalyptus leaf strengthens the bronchi.
false, Scientists found that 80% of world population is immune to COVID-19.
misleading, The Minister of Health in Colombia has confirmed that hospitals and clinics have a “macabre business”.
false, Publications linking COVID-19 to a ‘new world order’ in Colombian pages.
false," A video shot in an empty Brazilian emergency hospital, which would therefore infirm the presence of a new spike in Covid-19 cases in the country."
false, WHO said that the novel coronavirus is losing potency.
false," A painting depicting children in face masks was created as a mural for the Denver airport in 1994, proving the COVID-19 pandemic was planned."
false, Infrared thermometers damage neurons.
false," An image with a text urging citizens to stay away from Villa Pamphili area, in Rome, due to a recent new outbreak of Covid-19."
false, Infrared thermometers kill neurons.
false, China has been the source of four epidemics since 2006.
false, The WHO has warned of an outbreak of Nipah in India “deadlier than the coronavirus”.
misleading," The ban on motorcycle backriding, or having two people ride a motorcycle, has been lifted in the Philippines."
false, Prolonged use of masks causes lack of oxygenation.
misleading, Garlic and guava leaf cure COVID-19.
false," Tamil National Alliance leader Sampanthan states that Tamil Nadu COVID-19 patients should be sent to Sri Lanka, as there are less patients in the country."
misleading," The first Syrian doctor dies in the Syrian capital, Damascus, as a result of infection with coronavirus."
false, Infrared thermometers destroy neurons.
false, A grocery store worker who wore a mask for hours at a time got a lung infection from “breathing in her own bacteria”.
false, Infrared thermometers kill neurons and damage the eyes.
false, The Chinese embassy advised its citizens in a neighbourhood of Madrid to close the shops after new coronavirus cases in China.
false, Antiradiation suits are needed to install 5G cellphone towers.
misleading, A picture allegedly showing Italian ministers having dinner at a restaurant. They are not respecting social distancing or any other safety measure aimed at stopping the spread of the new coronavirus.
false, The Eiffel Tower pays tribute to the victims of COVID-19.
false, Dead bodies of COVID-19 victims are thrown in the sea off Mexico.
misleading, A clip from Mexico depicts the dumping of coronavirus patients corpses into the sea.
false, The book named Ahbarüz Zaman predicted coronavirus epidemic beforehand.
false," There is no pandemic: the number of deaths evidences this, says Ostap Stakhiv."
false, Nebulisations with drugs for bronchitis and natural remedies cure COVID-19.
false," According to Bill Gates, the COVID-19 RNA vaccine will permanently alter our DNA. RNA vaccines can also cause autoimmunity."
false, The woman shown in this photo holding a baby is COVID-19 positive.
false," Brazilian hospitals receive R$ 18,000 for each death registered with “suspected COVID-19”"
false," Mayor of São Paulo, diagnosed with COVID-19, used chloroquine, the same drug that was banned by the municipal government."
misleading," A video that compares the progress of hospitals in La Matanza (Buenos Aires, Argentina)."
false, Alkaline diets will help fight coronavirus.
false," Brazilian hospitals receive R$ 18,000 per death registered due to COVID-19."
false, Italian doctors defied WHO rule not to conduct autopsy and found that the Covid-19 caused by bacteria and aspirin is a cure.
false, Coronavirus is found inside Pepsi and Cola bottles in China.
false, Ministry of AYUSH has removed Dr. Mujahid Hussain from service because he banned Baba Ramdev’s medicine Coronil.
false, The coronavirus the “Muy Interesante” Spanish-language magazine talked about in 2014 is the current one.
false, Hospital in Brazilian city of Fortaleza closes Covid-19 ward due to lack of patients.
false, Lottery employee is recorded stealing COVID-19 emergency federal aid from client in Brazil.
false, Colombian oil company Terpel is giving away fuel because of the COVID-19 crisis.
false, Meme shows Florida Surgeon General saying: Everyone should STOP wearing masks as they have now been found to be harmful to your health.
false, A Whatsapp message claiming that Covid-19 was transmitted to people through the 2019-2020 influenza vaccine.
misleading, Article circulating on social networks and that alerts about the supposed detection of rats destined for human consumption infected with coronavirus (56% of those analyzed) in some restaurants in Vietnam.
false," A Facebook post claiming that Google is creating new, original articles everytime users type a number followed by “new cases”, in order to keep the “pandemic hoax” alive."
false," Video shows a doctor from Breach Candy Hospital of Mumbai claiming that If you can hold your breath for a longer period without discomfort, you don’t have Coronavirus."
false, An image claims that deaths of coronavirus are not real.
false, Posters and messages are circulating stating that in the last week “the Chinese community in Usera (Madrid) closed its stores again on the advice of its embassy after the outbreak of COVID-19 in Beijing.”
false," Video from Pune, India shows COVID-19 patient collapsing on the streets."
false, The spread of COVID-19 began last October with “contaminated” flu vaccines and the coronavirus remained latent in the body of the patients until it emerged months later.
false, Video from Pune shows COVID-19 patient collapsing on the streets and being taken away in an ambulance.
misleading," The mayor of Pereira hit the number of active cases of COVID-19 on May 24, but its comparison with previous dates is not accurate."
false, A publication comparing two photos and claiming that the images of cemeteries where people who died from COVID-19 are buried are recorded on a filming set with chroma and subsequently edited.
false," A blog post has been shared thousands of times in multiple Facebook posts which claim it shows a video of a baby who died after being infected with the novel coronavirus, which causes the disease COVID-19."
false, A video of the Eiffel Tower illuminated in honor of Covid-19 victims.
false, Former Filipino Senator Antonio Trillanes IV said President Rodrigo Duterte created COVID-19 together with China.
false," By revoking the permission to use chloroquine in hospitalized patients, the FDA expanded the use of the drug in the USA."
false, Infrared or “pistol” thermometers can cause ophthalmic and neuronal damage.
false, You can self test coronavirus by a 10-second self check test.
false, Samsung is giving free phones to students during coronavirus pandemic for online studies.
false, COVID-19 is cured by gargling hot bicarbonate.
false, WHO said coronavirus is losing potency.
false, COVID-19 cases are “up only because of our big number testing” in the United States.
false," The WHO alerted about a new outbreak of “Nipah” virus, which is more lethal than the novel coronavirus."
misleading," The coronavirus will fade away on its own, so no vaccine is needed."
false, Bill Gates said that the COVID-19 vaccine will permanently change your DNA.
false," A video with theories about the coronavirus during an anti-quarantine march in the Obelisk (Buenos Aires, Argentina)."
false," A man in Argentina makes claims like “in the US, doctors are paid $13000 thousand to say they got sick from COVID-19 and $39000 to put that ventilator on, the artificial respirator.”"
false, Claim that Rep. Alexandria Ocasio-Cortez tweeted that U.S. governors should extend COVID-19 restrictions on businesses “until after the November Elections.”
false, A “face mask exempt card” allows you to cite the ADA and not wear a mask.
false, Doctor says on video that prolonged use of masks acidifies the blood.
false," Alexandria Ocasio-Cortez tweeted, “It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.”"
false, The British Embassy in Kuwait gives Bidoon doctors immigrant visas after passing the proficiency tests.
false," In North Carolina, “you can be charged with a class H felony for wearing a mask and concealed carrying.”"
misleading," A video refers to a supposed “NASA anticovid necklace”, a device that theoretically ionizes the air around the head, disinfecting it."
misleading," Video reveals a secret vaccine for the novel coronavirus, in the White House."
false, An image claims that chroma screen panels are being used to make up coronavirus deaths.
false, Coronavirus is the most massive scam and is a robbery of Ukrainians.
false," A photo of a list of purported symptoms and treatments for the novel coronavirus, which causes the disease COVID-19, has been shared hundreds of times in multiple posts on Facebook, Twitter and Instagram. The purported remedies include a daily dose of vitamins; exposure to sunlight; and a diet of alkaline foods."
false," A video showing a protest by doctors from La Rioja against Alberto Fernández, president of Argentina."
misleading, A scientific study shows that cannabis is more effective at preventing and treating COVID-19 than hydroxychloroquine.
false," A picture with a quote attributed to the Nobel Prize Dénis Mukwege, where he says that he was obliged to classify all the recent demises as Covid-19 related deaths."
misleading," Nurses from hospital Messejana, in Brazil’s Ceará, record a video celebrating the closing of COVID-19 room due to lack of patients"
false, Photo claimed to show a child who has COVID-19.
false," A widely shared video in which the doctor Ángel Ruiz Valdepeñas, from the Hospital of Formentera, claims during a demonstration in Madrid that “there is no coronavirus pandemic” and that, therefore, “there is no point in either the mask or social distancing.”"
false," Bill Gates-funded vaccine got 1,200 girls sick in India."
misleading, Quarantine is a special operation to create a concentration camp in Ukraine.
false," A short portion of an interview given by discredited researcher Judy Mikovits, in which she claims that a vaccine for COVID-19 will be deadly, warns against immunization, and advocates for a five-year moratorium to test all vaccines, has been watched tens of thousands of times on YouTube and Facebook."
misleading," Social media posts shared thousands of times in the United States contain multiple false or misleading claims about face masks used to stop the spread of COVID-19,"
misleading," Coronavirus is a global fraud, and lockdown is genocide."
false, A Japanese professor said that the coronavirus was fabricated in China.
false, COVID19 dead patients are dropped from a plane in Mexico.
false," “Break the quarantine and this will be our future. Then don’t cry. (Photo from Ecuador) ”, says a photograph that shows piles of human bodies on the ground."
false," In the Philippines, the Office of the Vice President (OVP) donated spoiled food to frontliners at Diliman Doctors Hospital in Quezon City."
false," Video shows Elisa Carrió, former deputy of the Nation for the Autonomous City of Buenos Aires, calling for a march for freedom."
misleading, Salty and sour foods cause the “body of the COVID-19 virus” to explode and dissolve.
misleading, The title of an article suggests the low-cost steroid dexamethasone will heal anybody with COVID-19.
misleading," Alberto Fernández (President of Argentina), on the increase in cases in Buenos Aires: “They wanted to go running, go running. This is the consequence.”"
false," Thyroce lab in Thane, India is sealed over false positive covid-19 testing."
false, Biomagnetism cures coronavirus.
false, A Facebook post which would list the ingredients for the Covid-19 vaccine.
false, EU Commission president Ursula von der Leyen proposed for workers to do without their salary in solidarity with the economy.
